tieu_de,gia,dia_chi,dien_tich_dat,phong_ngu,phong_tam,so_tang,phap_ly,ngay_dang
"Chính chủ nhờ đăng tin bán nhà hẻm xe hơi 94/8 Trần Khắc Chân, P. Tân Định, Quận 1","21,5 tỷ","94/8 Đường Trần Khắc Chân, Phường Tân Định, Quận 1, Hồ Chí Minh",32 m²,3 phòng,3 phòng,3 tầng,Sổ đỏ/ Sổ hồng,22/11/2025
"Nhà 2 mặt tiền 15 Phan Tôn, P. Tân Định Quận 1","16,5 tỷ","15, Đường Phan Tôn, Phường Đa Kao, Quận 1, Hồ Chí Minh","55,3 m²",3 phòng,2 phòng,2 tầng,Sổ đỏ/ Sổ hồng.,26/11/2025
"Biệt thự góc 2MT hẻm Trần Đình Xu thông Trần Hưng Đạo, p. Cầu Kho, Q1, DT 320m2, giá chỉ 82 tỷ",82 tỷ,"Đường Trần Đình Xu, Phường Cầu Kho, Quận 1, Hồ Chí Minh",320 m²,N/A,N/A,2 tầng,Sổ đỏ/ Sổ hồng,24/11/2025
"Bán nhà trung tâm q1 hẻm 457 Nguyễn Cảnh Chân, Cầu Kho, Q1, HCM, giá 17,5 tỷ, 66m2 có thương lượng","17,5 tỷ","Đường Nguyễn Cảnh Chân, Phường Cầu Kho, Quận 1, Hồ Chí Minh",66 m²,5 phòng,6 phòng,4 tầng,Sổ đỏ/ Sổ hồng,21/11/2025
"Bán gấp giảm nhanh 1,5 tỷ còn 16 tỷ nhà Nguyễn Thái Bình, Quận 1, 8PN - 4 tầng, 73m2 DTSD 258m2",16 tỷ,"Đường Nguyễn Thái Bình, Phường Nguyễn Thái Bình, Quận 1, Hồ Chí Minh",73 m²,8 phòng,8 phòng,5 tầng,Sổ đỏ/ Sổ hồng,19/11/2025
THẬT 100% THU 250 TRIỆU/THÁNG 46 PHÒNG 10mx17m. 160m² HẺM 10m GẦN BÙI THỊ XUÂN- NGUYỄN TRÃI QUẬN 1,"49,9 tỷ","Đường Bùi Thị Xuân, Phường Bến Thành, Quận 1, Hồ Chí Minh",160 m²,46 phòng,46 phòng,8 tầng,Sổ đỏ/ Sổ hồng,23/11/2025
"Bán khách sạn 10 phòng giá rẻ hơn thị trường khu phố Tây Bùi Viện, Q1 đang cho thuê 42tr/tháng","17,5 tỷ","Hẻm 183, Đường Bùi Viện, Phường Phạm Ngũ Lão, Quận 1, Hồ Chí Minh",73 m²,10 phòng,N/A,3 tầng,Sổ hồng riêng.,17/11/2025
"Bán nhà riêng view đẹp tại Lê Thị Riêng, 7,6 tỷ, 36m2, 4PN, 4WC, Q1, HCM","7,6 tỷ","Đường Lê Thị Riêng, Phường Bến Thành, Quận 1, Hồ Chí Minh",36 m²,4 phòng,4 phòng,4 tầng,Sổ đỏ/ Sổ hồng,22/11/2025
"Bán nhà 3 tầng hẻm xe hơi Trần Hưng Đạo, Quận 1 - Nội thất cao cấp, tiềm năng cho thuê - giá 19 tỷ",19 tỷ,"Đường Trần Hưng Đạo, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh",51 m²,N/A,N/A,3 tầng,Sổ đỏ/ Sổ hồng,26/11/2025
"HẺM XE HƠI TRẦN KHÁNH DƯ, TÂN ĐỊNH QUẬN 1, NHÀ 40M2, 3 TẦNG BTCT, 4PN, CHỈ NHỈNH 6 TỶ.LH0967 678 ***","6,5 tỷ","Đường Trần Khánh Dư, Phường Tân Định, Quận 1, Hồ Chí Minh",41 m²,3 phòng,3 phòng,4 tầng,Sổ đỏ/ Sổ hồng,27/11/2025
"Hiếm có khó tìm, chỉ 4tỷ1 nhà 72m2, Đỗ Quang Đẩu-Quận 1, gần công viên 23Tháng9. Đang cho thuê 29tr","4,1 tỷ","Đường Đỗ Quang Đẩu, Phường Phạm Ngũ Lão, Quận 1, Hồ Chí Minh",72 m²,N/A,N/A,5 tầng,Sổ đỏ/ Sổ hồng,27/11/2025
NHÀ ĐẸP HIẾM Q.1 - BẾN CHƯƠNG DƯƠNG - VÕ VĂN KIỆT - 4 TẦNG - 27M2 - KHU DÂN TRÍ CAO - CHỈ 6.7 TỶ,"6,7 tỷ","Đường Võ Văn Kiệt, Phường Cầu Kho, Quận 1, Hồ Chí Minh","26,1 m²",5 phòng,6 phòng,4 tầng,Sổ đỏ/ Sổ hồng,27/11/2025
"Bán nhà 2 tầng hxh VIP đ.Cô Giang, Q.1- ngang đẹp 4m nở hậu 5,2m*16,3m full thổ vuông đẹp-giá tốt","10,7 tỷ","Đường Cô Giang, Phường Cô Giang, Quận 1, Hồ Chí Minh",58 m²,N/A,N/A,2 tầng,Sổ đỏ/ Sổ hồng,27/11/2025
"Bán nhà gần chợ Đa Kao,4Tỷ090/65m2 đang cho thuê 25tr/th đường ôtô Nguyễn Huy Tự- Q1 thông Hoàng Sa",Thỏa thuận,"Đường  Nguyễn Huy Tự, Phường Đa Kao, Quận 1, Hồ Chí Minh",65 m²,3 phòng,3 phòng,3 tầng,N/A,17/11/2025
"Chính chủ bán Nhà đẹp 106/4/3 Nguyễn Văn Cừ, Quận 1, 3 lầu, Giá 6,3 tỷ TL","6,3 tỷ","Đường Nguyễn Văn Cừ, Phường Cầu Ông Lãnh, Quận 1, Hồ Chí Minh",24 m²,3 phòng,4 phòng,4 tầng,Sổ đỏ/ Sổ hồng,27/11/2025
"Bán nhà ngay trung tâm Quận1, 86,4m2, đường 6m Tôn Thất Tùng cho thuê 35tr, gần BV Từ Dũ",Thỏa thuận,"Đường Tôn Thất Tùng, Phường Phạm Ngũ Lão, Quận 1, Hồ Chí Minh","86,4 m²",5 phòng,5 phòng,4 tầng,Sổ đỏ/ Sổ hồng,27/11/2025
"BÁN GẤP NHÀ 2 TẦNG - CHỈ 6.8 TỶ - NGUYỄN TRÃI, QUẬN 1",7 tỷ,"Đường Nguyễn Trãi, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh",32 m²,2 phòng,2 phòng,2 tầng,Sổ đỏ/ Sổ hồng,16/11/2025
"CHDV VIP gần Trần Hưng Đạo - Lê Thị Riêng,Quận 1 nhà mới 4 tầng,dòng tiền 80tr/tháng,full nội thất",25 tỷ,"Đường Lê Thị Riêng, Phường Bến Thành, Quận 1, Hồ Chí Minh",110 m²,6 phòng,6 phòng,4 tầng,Sổ hồng riêng,26/11/2025
"Bán gấp nhà Đề Thám, P. Cầu Ông Lãnh, Q. 1 - sau MT, 4 tầng, ngang 4.1m - chỉ 13.1 tỷ","13,1 tỷ","Đường Đề Thám, Phường Cầu Ông Lãnh, Quận 1, Hồ Chí Minh",42 m²,5 phòng,5 phòng,4 tầng,Sổ đỏ/ Sổ hồng,27/11/2025
"CHDV cao cấp Lê Thị Riêng, sát Trần Hưng Đạo, Quận 1 - DT 110m², 6 PN, 6WC, dòng tiền 80tr/tháng",25 tỷ,"Đường Lê Thị Riêng, Phường Bến Thành, Quận 1, Hồ Chí Minh",110 m²,6 phòng,6 phòng,4 tầng,Sổ đỏ/ Sổ hồng,25/11/2025
Bán Nhà 4 Lầu Ngay Nguyễn Cư Trinh . Hẻm Xe Hơi Đang Cho Thuê Kinh Doanh . Doanh Thu 120 Tr / Thang,"24,5 tỷ","Đường Nguyễn Cư Trinh, Phường Cầu Ông Lãnh, Quận 1, Hồ Chí Minh",59 m²,10 phòng,N/A,4 tầng,Sổ đỏ/ Sổ hồng,27/11/2025
Bán khách sạn Phạm Ngũ Lão Quận 1. Sát Bùi Viện đang kinh doanh ổn định 6 lầu. Giá 23 tỉ,23 tỷ,"Hẻm 283, Đường Phạm Ngũ Lão, Phường Phạm Ngũ Lão, Quận 1, Hồ Chí Minh",52 m²,9 phòng,N/A,6 tầng,Sổ đỏ/ Sổ hồng,27/11/2025
"Góc 2 mặt tiền hẻm Nguyễn Thị Minh Khai, Q1 - 2 tầng, gần 30m2, HDT 16tr/th giá 8 tỷ.0906 871 ***",8 tỷ,"Đường Nguyễn Thị Minh Khai, Phường Đa Kao, Quận 1, Hồ Chí Minh",28 m²,N/A,N/A,2 tầng,Sổ đỏ/ Sổ hồng,19/11/2025
Nhà nhỏ 3 lầu sổ riêng quận 1 đường Bùi Viện,"2,38 tỷ","Đường Bùi Viện, Phường Phạm Ngũ Lão, Quận 1, Hồ Chí Minh",10 m²,3 phòng,N/A,4 tầng,Sổ đỏ/ Sổ hồng,27/11/2025
"Bán Nhà VIP Tôn Thất Tùng, Quận 1 - 71.5m², 13 CHDV, thang máy, dòng tiền 95tr/tháng - giá 35 tỷ",35 tỷ,"Đường Tôn Thất Tùng, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh","71,5 m²",13 phòng,13 phòng,5 tầng,Sổ đỏ/ Sổ hồng,27/11/2025
Sốc giảm 500tr vừa ở vừa cho thuê ngay Trần Đình Xu - Q1 - 50m2 - công chứng ngay,Thỏa thuận,"Đường Trần Đình Xu, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh",50 m²,3 phòng,3 phòng,2 tầng,Sổ đỏ/ Sổ hồng,17/11/2025
Chính chủ bán gấp nhà hẻm xe hơi DT 12x14m đường Nguyễn Bỉnh Khiêm Quận 1 giá 35 tỷ thương lượng,35 tỷ,"Đường Nguyễn Bỉnh Khiêm, Phường Đa Kao, Quận 1, Hồ Chí Minh",170 m²,N/A,N/A,4 tầng,Có sổ.,23/11/2025
