tieu_de,gia,dia_chi,dien_tich_dat,phong_ngu,phong_tam,so_tang,phap_ly,ngay_dang
Quận 1 - Nhà Mới Ở Ngay - 25M - 2PN - Nhỉnh 3 Tỷ,3.9,"Bùi Viện, Phường Phạm Ngũ Lão, Quận 1, TPHCM",25.0,2,1,2,Sổ hồng,25/11/2025
📣 bùi viện quận 1 - nhà mới đẹp ở ngay - phù hợp ở hoặc cho thuê -,8.6,"Bùi Viện, Phường Phạm Ngũ Lão, Quận 1, TPHCM",25.0,2,,3,Sổ đỏ,25/11/2025
Bùi Viện Quận 1 - Nhà Mới Đẹp - Phù Hợp Ở Hoặc Cho Thuê - Nhỉnh 8 Tỷ,8.6,"Bùi Viện, Phường Phạm Ngũ Lão, Quận 1, TPHCM",25.0,2,3,3,Sổ hồng,25/11/2025
Bán nhà cũ tiện xây mới MT Võ Thị Sáu Q.1 - 206m2 - giá 47 tỉ,47.0,"Võ Thị Sáu, Phường Tân Định, Quận 1, TPHCM",206.0,1,1,18,Sổ hồng,25/11/2025
"Bán nhà hxh Nguyễn Cảnh Chân - Trần Đình Xu - 3,5m x 9m chỉ 7,6 tỷ",7.6,"Trần Đình Xu, Phường Nguyễn Cư Trinh, Quận 1, TPHCM",30.0,6,5,17,Sổ hồng,25/11/2025
"Đất 35x21 ngay Trần Quang Khải, Q1 đường 12m- GP 2 Hầm 12T. Bán 215 tỷ",215.0,"Trần Quang Khải, Phường Tân Định, Quận 1, TPHCM",600.0,,,12,Sổ hồng,25/11/2025
"MẶT TIỀN Trần Quang Khải + Hai Bà Trưng, QUẬN 1. DT: 11x33m, 99 TỶ",99.0,"Trần Quang Khải, Phường Tân Định, Quận 1, TPHCM",398.0,2,2,9,Sổ hồng,25/11/2025
ĐẦU TƯ MẶT TIỀN QUẬN 1 - DT: 4x20. 6 tầng thang máy. Chốt bán: 30 tỷ,30.0,"Ký Con, Phường Nguyễn Thái Bình, Quận 1, TPHCM",66.0,6,6,5,Sổ hồng,25/11/2025
"Căn bán duy nhất MT Trần Đình Xu, Quận 1. DT: 12x22. Giá: 80 tỷ",80.0,"Trần Đình Xu, Phường Nguyễn Cư Trinh, Quận 1, TPHCM",264.0,4,4,8,Sổ hồng,25/11/2025
BÁN GẤP tài sản mặt tiền QUẬN 1 -Ngân hàng định giá 100 tỷ - Bán 60 tỷ,60.0,"Lý Tự Trọng, Phường Bến Thành, Quận 1, TPHCM",100.0,6,6,6,Sổ hồng,25/11/2025
bán nhà 2 mặt tiền góc trần quang khải p. tân định quận 1 - dt (13x18),120.0,"Trần Quang Khải, Phường Tân Định, Quận 1, TPHCM",234.0,,,3,Sổ hồng,25/11/2025
Siêu phẩm building góc 2 MT BÙI THỊ XUÂN- TÔN THẤT TÙNG Q.1,160.0,"Bùi Thị Xuân, Phường Bến Thành, Quận 1, TPHCM",159.0,,,14,Sổ hồng,25/11/2025
"SIÊU PHẨM BUILDING MẶT TIỀN Mạc Đĩnh Chi - Nguyễn thị Minh Khai, Q.1",260.0,"Mạc Đĩnh Chi, Phường Đa Kao, Quận 1, TPHCM",204.0,,,7,Sổ hồng,25/11/2025
"Góc 2MT Bùi Thị Xuân & Tôn Thất Tùng, Quận 1 - 15x25m - 2 tầng - 370ty",370.0,"Bùi Thị Xuân, Phường Bến Thành, Quận 1, TPHCM",375.0,,,2,Sổ hồng,25/11/2025
