Tieu_de,gia,dia_chi,dien_tich_dat,phong_ngu,phong_tam,so_tang,phap_ly,ngay_dang
Bán nhà 7 tầng thang máy ngõ 204 Đội Cấn Ba Đình Hà Nội,"11,8 tỷ","Đường Đội Cấn, Phường Đội Cấn, Quận Ba Đình, Hà Nội",82 m²,N/A,N/A,7,Sổ đỏ,2025-11-17
Bán nhà chính chủ mặt phố Phan Kế Bính gần phố Linh Lang,"36,5 tỷ","Đường Phan Kế Bính, Phường Cống Vị, Quận Ba Đình, Hà Nội",75 m²,N/A,N/A,5,Sổ đỏ,2025-11-25
"Bán căn hộ dịch vụ phố Đội Cấn - Ngọc Hà cạnh hồ Đầm Tròn, Lăng Bác",27 tỷ,"Đường Đội Cấn, Phường Ngọc Hà, Quận Ba Đình, Hà Nội",60 m²,N/A,N/A,7,Sổ đỏ,2025-11-26
Bán nhà 6 tầng ngõ ô tô đường Hoàng Hoa Thám,42 tỷ,"Đường Hoàng Hoa Thám, Phường Liễu Giai, Quận Ba Đình, Hà Nội",140 m² (7.0x21.0),9 phòng,11 WC,6,Sổ đỏ,2025-11-25
"Bán nhà mặt ngõ 189 Hoàng Hoa Thám, Phường Ngọc Hà, Q.Ba Đình, Hà Nội",18 tỷ,"Đường Hoàng Hoa Thám, Phường Ngọc Hà, Quận Ba Đình, Hà Nội",58.3 m²,N/A,N/A,2.5,Sổ đỏ,2025-11-25
"Phân lô, ngõ nông, sau dãy mặt phố Giang Văn Minh, 7 tầng, hiếm bán","25,6 tỷ","68, Đường Giang Văn Minh, Phường Đội Cấn, Quận Ba Đình, Hà Nội",55 m²,8 phòng,N/A,7,Sổ hồng,2025-11-22
Bán Tòa Nhà VP Đường Đội Cấn Liễu Giai Ba Đình Hà Nội Diện tích 88 m2,"62,5 tỷ","Đường Đội Cấn, Phường Đội Cấn, Quận Ba Đình, Hà Nội",980 m² (7.8x15.0),N/A,N/A,10,Sổ đỏ,2025-11-21
"Bán nhà 7 tầng thang máy khu phân lô phố Kim Mã, mặt tiền 6m",27 tỷ,"Đường Kim Mã, Phường Ngọc Khánh, Quận Ba Đình, Hà Nội",80 m²,N/A,N/A,7,Sổ đỏ,2025-11-20
"Bán căn biệt thự lô góc trung tâm Ba Đình đường Thuỵ Khuê, DTSD 550m2","75,5 tỷ","Đường Thụy Khuê, Phường Liễu Giai, Quận Ba Đình, Hà Nội",200 m²,6 phòng,N/A,N/A,Sổ đỏ,2025-11-15
"Chính chủ nhờ bán gấp căn nhà 4,5 tầng 65m hơn 30 tỷ Ba Đình",31 tỷ,"Đường Nguyễn Công Hoan, Phường Giảng Võ, Quận Ba Đình, Hà Nội",65 m² (4.0x16.0),6 phòng,4 WC,5,Sổ đỏ,2025-11-11
