tieu_de,gia,dia_chi,dien_tich_dat,phong_ngu,phong_tam,so_tang,phap_ly,ngay_dang
"Bán  Nhà riêng tạiĐường Ngọc Thụy, Phường Bồ Đề, Quận Long Biên, Hà Nội","29,90 tỷ","Đường Ngọc Thụy, Phường Bồ Đề, Quận Long Biên, Hà Nội",160 m²,2 PN,2 WC,2,Sổ đỏ / Sổ hồng,27/11/202506:42
"Bán  Nhà riêng tạiĐường Vũ Đức Thận, Phường Việt Hưng, Quận Long Biên, Hà Nội","26,80 tỷ","Đường Vũ Đức Thận, Phường Việt Hưng, Quận Long Biên, Hà Nội",100 m²,4 PN,6 WC,7,Sổ đỏ / Sổ hồng,27/11/202506:22
"Bán Nhà biệt thự, liền kề theo dự ánAn Vượng Villa tại An Vượng Villa, Phường Dương Nội, Quận Hà Đông, Hà Nội",89 tỷ,"An Vượng Villa, Phường Dương Nội, Quận Hà Đông, Hà Nội",180 m²,6 PN,3 WC,4,Sổ đỏ / Sổ hồng,27/11/202506:19
"Bán  Nhà riêng tạiTô Hiệu , Phường Nguyễn Trãi, Quận Hà Đông, Hà Nội","11,50 tỷ","Tô Hiệu , Phường Nguyễn Trãi, Quận Hà Đông, Hà Nội",40 m²,6 PN,4 WC,5,Sổ đỏ / Sổ hồng,27/11/202500:06
"Bán  Nhà riêng tạiNguyễn An Ninh, Phường Tương Mai, Quận Hoàng Mai, Hà Nội","13,50 tỷ","Nguyễn An Ninh, Phường Tương Mai, Quận Hoàng Mai, Hà Nội",53 m²,,,6,Sổ đỏ / Sổ hồng,27/11/202506:00
"Bán  Nhà riêng tạiHoàng Mai, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội","14,75 tỷ","Hoàng Mai, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội",53 m²,5 PN,,4,Sổ đỏ / Sổ hồng,27/11/202506:00
"Bán  Nhà riêng tạiKim ĐỒng, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội","22,20 tỷ","Kim ĐỒng, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội",52 m²,,,7,Sổ đỏ / Sổ hồng,27/11/202506:00
"Bán  Nhà riêng tạiĐịnh Công, Phường Định Công, Quận Hoàng Mai, Hà Nội","6,90 tỷ","Định Công, Phường Định Công, Quận Hoàng Mai, Hà Nội",31 m²,,,4,Sổ đỏ / Sổ hồng,27/11/202506:00
"Bán  Nhà riêng tạiMinh Khai, Phường Mai Động, Quận Hoàng Mai, Hà Nội","7,65 tỷ","Minh Khai, Phường Mai Động, Quận Hoàng Mai, Hà Nội",35 m²,4 PN,,4,Sổ đỏ / Sổ hồng,27/11/202506:00
"Bán  Nhà riêng tạiPhường Định Công, Quận Hoàng Mai, Hà Nội","9,35 tỷ","Phường Định Công, Quận Hoàng Mai, Hà Nội",49 m²,4 PN,4 WC,4,,26/11/202513:49
"Bán  Nhà riêng tạiTÂN MAI, Phường Tân Mai, Quận Hoàng Mai, Hà Nội","13,88 tỷ","TÂN MAI, Phường Tân Mai, Quận Hoàng Mai, Hà Nội",82 m²,5 PN,,5,Sổ đỏ / Sổ hồng,26/11/202513:52
"Bán  Nhà riêng tạiMỹ Đình, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội","8,40 tỷ","Mỹ Đình, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",33 m²,,,,,26/11/202520:18
"Bán  Nhà riêng tạiĐịnh Công, Phường Định Công, Quận Hoàng Mai, Hà Nội","9,35 tỷ","Định Công, Phường Định Công, Quận Hoàng Mai, Hà Nội",49 m²,4 PN,3 WC,4,Sổ đỏ / Sổ hồng,26/11/202513:49
"Bán  Nhà riêng tạinguyên xá, Phường Minh Khai, Quận Bắc Từ Liêm, Hà Nội","6,60 tỷ","nguyên xá, Phường Minh Khai, Quận Bắc Từ Liêm, Hà Nội",37 m²,4 PN,4 WC,4,Sổ đỏ / Sổ hồng,26/11/202516:22
"Bán  Nhà riêng tạiPhạm Văn Nghị, Phường Cổ Nhuế 2, Quận Bắc Từ Liêm, Hà Nội","7,50 tỷ","Phạm Văn Nghị, Phường Cổ Nhuế 2, Quận Bắc Từ Liêm, Hà Nội",37 m²,3 PN,4 WC,5,,26/11/202512:07
"Bán  Nhà riêng tạiĐịnh Công Thượng, Phường Định Công, Quận Hoàng Mai, Hà Nội","14,30 tỷ","Định Công Thượng, Phường Định Công, Quận Hoàng Mai, Hà Nội",71 m²,6 PN,,5,Sổ đỏ / Sổ hồng,26/11/202513:46
"Bán  Nhà riêng tạiĐường Nguyễn Văn Linh, Phường Phúc Lợi, Quận Long Biên, Hà Nội","21,50 tỷ","Đường Nguyễn Văn Linh, Phường Phúc Lợi, Quận Long Biên, Hà Nội",55 m²,4 PN,5 WC,7,Sổ đỏ / Sổ hồng,26/11/202512:41
"Bán  Nhà mặt phố tạiMinh Khai, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội",25 tỷ,"Minh Khai, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội",71 m²,,,7,Sổ đỏ / Sổ hồng,26/11/202513:46
"Bán  Nhà riêng tạiTam Trinh, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội","8,50 tỷ","Tam Trinh, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội",40 m²,3 PN,,5,Sổ đỏ / Sổ hồng,26/11/202513:48
"Bán Nhà biệt thự, liền kề theo dự ánKhu đô thị Thanh Hà tại Phường Kiến Hưng, Quận Hà Đông, Hà Nội","10,50 tỷ","Phường Kiến Hưng, Quận Hà Đông, Hà Nội",90 m²,,,5,Hợp đồng mua bán,26/11/202508:38
"Bán  Nhà riêng tạiLê Đức Thọ, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội","8,25 tỷ","Lê Đức Thọ, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",36 m²,,,,,26/11/202508:11
"Bán  Nhà riêng tạiHoàng Mai, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội","8,80 tỷ","Hoàng Mai, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội",38 m²,3 PN,4 WC,5,Sổ đỏ / Sổ hồng,26/11/202500:00
"Bán  Nhà riêng tạiLê Đức Thọ, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội","8,20 tỷ","Lê Đức Thọ, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",35 m²,,,,,26/11/202508:28
"Bán  Nhà riêng tạivăn phú, Phường Phú La, Quận Hà Đông, Hà Nội","8,60 tỷ","văn phú, Phường Phú La, Quận Hà Đông, Hà Nội",32 m²,3 PN,4 WC,5,Sổ đỏ / Sổ hồng,26/11/202509:40
"Bán Nhà biệt thự, liền kề theo dự ánKiến Hưng Luxury tại Kiến Hưng Luxury, Phúc La , Phường Kiến Hưng, Quận Hà Đông, Hà Nội",21 tỷ,"Kiến Hưng Luxury, Phúc La , Phường Kiến Hưng, Quận Hà Đông, Hà Nội",73 m²,4 PN,4 WC,5,Sổ đỏ / Sổ hồng,26/11/202500:06
"Bán  Nhà mặt phố tạixuân phương, Phường Xuân Phương, Quận Nam Từ Liêm, Hà Nội",46 tỷ,"xuân phương, Phường Xuân Phương, Quận Nam Từ Liêm, Hà Nội",41 m²,4 PN,4 WC,8,Sổ đỏ / Sổ hồng,26/11/202506:20
"Bán  Nhà riêng tạihòe thị, Phường Phương Canh, Quận Nam Từ Liêm, Hà Nội",8 tỷ,"hòe thị, Phường Phương Canh, Quận Nam Từ Liêm, Hà Nội",44 m²,3 PN,3 WC,3,Sổ đỏ / Sổ hồng,25/11/202518:44
"Bán  Nhà riêng tạiTam Trinh, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội","7,95 tỷ","Tam Trinh, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội",39 m²,3 PN,4 WC,5,Sổ đỏ / Sổ hồng,26/11/202500:00
"Bán  Nhà riêng tạiĐường Phan Đình Giót, Phường La Khê, Quận Hà Đông, Hà Nội",8 tỷ,"Đường Phan Đình Giót, Phường La Khê, Quận Hà Đông, Hà Nội",35 m²,3 PN,4 WC,5,Sổ đỏ / Sổ hồng,25/11/202522:02
"Bán  Nhà mặt phố tạiBắc Cầu, Phường Ngọc Thụy, Quận Long Biên, Hà Nội",15 tỷ,"Bắc Cầu, Phường Ngọc Thụy, Quận Long Biên, Hà Nội",114 m²,3 PN,3 WC,4,Sổ đỏ / Sổ hồng,25/11/202515:33
"Bán  Nhà riêng tạiĐường Nguyễn Sơn, Phường Bồ Đề, Quận Long Biên, Hà Nội","10,75 tỷ","Đường Nguyễn Sơn, Phường Bồ Đề, Quận Long Biên, Hà Nội","43,2 m²",3 PN,3 WC,5,Sổ đỏ / Sổ hồng,25/11/202515:32
"Bán  Nhà riêng tạiCổ Bi, Phường Cự Khối, Quận Long Biên, Hà Nội","10,50 tỷ","Cổ Bi, Phường Cự Khối, Quận Long Biên, Hà Nội",95 m²,,,,Sổ đỏ / Sổ hồng,25/11/202515:33
"Bán  Nhà mặt phố tạiVõng thị, Phường Thụy Khuê, Quận Tây Hồ, Hà Nội","7,90 tỷ","Võng thị, Phường Thụy Khuê, Quận Tây Hồ, Hà Nội",30 m²,3 PN,4 WC,5,Sổ đỏ / Sổ hồng,25/11/202515:06
"Bán  Nhà mặt phố tạiPhường Đại Mỗ, Quận Nam Từ Liêm, Hà Nội","5,90 tỷ","Phường Đại Mỗ, Quận Nam Từ Liêm, Hà Nội",33 m²,3 PN,3 WC,5,Sổ đỏ / Sổ hồng,25/11/202514:39
"Bán  Nhà riêng tạiPhường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội","6,60 tỷ","Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội",34 m²,3 PN,4 WC,6,Sổ đỏ / Sổ hồng,25/11/202514:39
"Bán  Nhà riêng tạiPhường Mai Động, Quận Hoàng Mai, Hà Nội","8,50 tỷ","Phường Mai Động, Quận Hoàng Mai, Hà Nội",36 m²,,,4,Sổ đỏ / Sổ hồng,25/11/202513:42
"Bán  Nhà riêng tạiPhường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội","7,45 tỷ","Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội",29 m²,,,,,25/11/202514:31
"Bán  Nhà riêng tạiĐường Gia Thụy, Phường Bồ Đề, Quận Long Biên, Hà Nội","21,30 tỷ","Đường Gia Thụy, Phường Bồ Đề, Quận Long Biên, Hà Nội",90 m²,1 PN,1 WC,,Sổ đỏ / Sổ hồng,25/11/202511:00
"Bán  Nhà riêng tạiĐền Lừ, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội","18,60 tỷ","Đền Lừ, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội",52 m²,,,6,Sổ đỏ / Sổ hồng,25/11/202513:47
"Bán  Nhà biệt thự, liền kề tạiĐường 15, Phường Vạn Phúc, Quận Hà Đông, Hà Nội","19,99 tỷ","Đường 15, Phường Vạn Phúc, Quận Hà Đông, Hà Nội",50 m²,,,7,Sổ đỏ / Sổ hồng,25/11/202512:04
"Bán  Nhà riêng tạihoàng mai, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội","9,60 tỷ","hoàng mai, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội",56 m²,,,4,Sổ đỏ / Sổ hồng,25/11/202513:46
