tieu_de,gia,dia_chi,dien_tich_dat,phong_ngu,phong_tam,so_tang,phap_ly,ngay_dang
"Chính chủ nhờ đăng tin bán nhà hẻm xe hơi 94/8 Trần Khắc Chân, P. Tân Định, Quận 1",21.5,"94/8 Đường Trần Khắc Chân, Phường Tân Định, Quận 1, Hồ Chí Minh",32.0,3.0,3.0,3.0,Sổ hồng,2025-11-22
"Nhà 2 mặt tiền 15 Phan Tôn, P. Tân Định Quận 1",16.5,"15, Đường Phan Tôn, Phường Đa Kao, Quận 1, Hồ Chí Minh",55.0,3.0,2.0,2.0,Sổ hồng,2025-11-26
"Bán nhà trung tâm q1 hẻm 457 Nguyễn Cảnh Chân, Cầu Kho, Q1, HCM, giá 17,5 tỷ, 66m2 có thương lượng",17.5,"Đường Nguyễn Cảnh Chân, Phường Cầu Kho, Quận 1, Hồ Chí Minh",66.0,5.0,6.0,4.0,Sổ hồng,2025-11-21
"Bán gấp giảm nhanh 1,5 tỷ còn 16 tỷ nhà Nguyễn Thái Bình, Quận 1, 8PN - 4 tầng, 73m2 DTSD 258m2",16.0,"Đường Nguyễn Thái Bình, Phường Nguyễn Thái Bình, Quận 1, Hồ Chí Minh",73.0,8.0,8.0,5.0,Sổ hồng,2025-11-19
THẬT 100% THU 250 TRIỆU/THÁNG 46 PHÒNG 10mx17m. 160m² HẺM 10m GẦN BÙI THỊ XUÂN- NGUYỄN TRÃI QUẬN 1,49.9,"Đường Bùi Thị Xuân, Phường Bến Thành, Quận 1, Hồ Chí Minh",160.0,46.0,46.0,8.0,Sổ hồng,2025-11-23
"Bán nhà riêng view đẹp tại Lê Thị Riêng, 7,6 tỷ, 36m2, 4PN, 4WC, Q1, HCM",7.6,"Đường Lê Thị Riêng, Phường Bến Thành, Quận 1, Hồ Chí Minh",36.0,4.0,4.0,4.0,Sổ hồng,2025-11-22
"HẺM XE HƠI TRẦN KHÁNH DƯ, TÂN ĐỊNH QUẬN 1, NHÀ 40M2, 3 TẦNG BTCT, 4PN, CHỈ NHỈNH 6 TỶ.LH0967 678 ***",6.5,"Đường Trần Khánh Dư, Phường Tân Định, Quận 1, Hồ Chí Minh",41.0,3.0,3.0,4.0,Sổ hồng,2025-11-27
NHÀ ĐẸP HIẾM Q.1 - BẾN CHƯƠNG DƯƠNG - VÕ VĂN KIỆT - 4 TẦNG - 27M2 - KHU DÂN TRÍ CAO - CHỈ 6.7 TỶ,6.7,"Đường Võ Văn Kiệt, Phường Cầu Kho, Quận 1, Hồ Chí Minh",26.0,5.0,6.0,4.0,Sổ hồng,2025-11-27
"Chính chủ bán Nhà đẹp 106/4/3 Nguyễn Văn Cừ, Quận 1, 3 lầu, Giá 6,3 tỷ TL",6.3,"Đường Nguyễn Văn Cừ, Phường Cầu Ông Lãnh, Quận 1, Hồ Chí Minh",24.0,3.0,4.0,4.0,Sổ hồng,2025-11-27
"BÁN GẤP NHÀ 2 TẦNG - CHỈ 6.8 TỶ - NGUYỄN TRÃI, QUẬN 1",7.0,"Đường Nguyễn Trãi, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh",32.0,2.0,2.0,2.0,Sổ hồng,2025-11-16
"CHDV VIP gần Trần Hưng Đạo - Lê Thị Riêng,Quận 1 nhà mới 4 tầng,dòng tiền 80tr/tháng,full nội thất",25.0,"Đường Lê Thị Riêng, Phường Bến Thành, Quận 1, Hồ Chí Minh",110.0,6.0,6.0,4.0,Sổ hồng,2025-11-26
"Bán gấp nhà Đề Thám, P. Cầu Ông Lãnh, Q. 1 - sau MT, 4 tầng, ngang 4.1m - chỉ 13.1 tỷ",13.1,"Đường Đề Thám, Phường Cầu Ông Lãnh, Quận 1, Hồ Chí Minh",42.0,5.0,5.0,4.0,Sổ hồng,2025-11-27
"CHDV cao cấp Lê Thị Riêng, sát Trần Hưng Đạo, Quận 1 - DT 110m², 6 PN, 6WC, dòng tiền 80tr/tháng",25.0,"Đường Lê Thị Riêng, Phường Bến Thành, Quận 1, Hồ Chí Minh",110.0,6.0,6.0,4.0,Sổ hồng,2025-11-25
