tieu_de,gia,dia_chi,dien_tich_dat,phong_ngu,phong_tam,so_tang,phap_ly,ngay_dang
Quận 1 - Nhà Mới Ở Ngay - 25M - 2PN - Nhỉnh 3 Tỷ,3.9,"Bùi Viện, Phường Phạm Ngũ Lão, Quận 1, TPHCM",25.0,2,1,2,Sổ hồng,2025-11-25
Bùi Viện Quận 1 - Nhà Mới Đẹp - Phù Hợp Ở Hoặc Cho Thuê - Nhỉnh 8 Tỷ,8.6,"Bùi Viện, Phường Phạm Ngũ Lão, Quận 1, TPHCM",25.0,2,3,3,Sổ hồng,2025-11-25
Bán nhà cũ tiện xây mới MT Võ Thị Sáu Q.1 - 206m2 - giá 47 tỉ,47.0,"Võ Thị Sáu, Phường Tân Định, Quận 1, TPHCM",206.0,1,1,18,Sổ hồng,2025-11-25
"Bán nhà hxh Nguyễn Cảnh Chân - Trần Đình Xu - 3,5m x 9m chỉ 7,6 tỷ",7.6,"Trần Đình Xu, Phường Nguyễn Cư Trinh, Quận 1, TPHCM",30.0,6,5,17,Sổ hồng,2025-11-25
"MẶT TIỀN Trần Quang Khải + Hai Bà Trưng, QUẬN 1. DT: 11x33m, 99 TỶ",99.0,"Trần Quang Khải, Phường Tân Định, Quận 1, TPHCM",398.0,2,2,9,Sổ hồng,2025-11-25
ĐẦU TƯ MẶT TIỀN QUẬN 1 - DT: 4x20. 6 tầng thang máy. Chốt bán: 30 tỷ,30.0,"Ký Con, Phường Nguyễn Thái Bình, Quận 1, TPHCM",66.0,6,6,5,Sổ hồng,2025-11-25
"Căn bán duy nhất MT Trần Đình Xu, Quận 1. DT: 12x22. Giá: 80 tỷ",80.0,"Trần Đình Xu, Phường Nguyễn Cư Trinh, Quận 1, TPHCM",264.0,4,4,8,Sổ hồng,2025-11-25
BÁN GẤP tài sản mặt tiền QUẬN 1 -Ngân hàng định giá 100 tỷ - Bán 60 tỷ,60.0,"Lý Tự Trọng, Phường Bến Thành, Quận 1, TPHCM",100.0,6,6,6,Sổ hồng,2025-11-25
"Bán nhà HXH ngay Nguyễn Cư Trinh, phố đi bộ Bùi Viện, Quận 1, 4L, 19.5",19.5,"Nguyễn Cư Trinh, Phường Nguyễn Cư Trinh, Quận 1, TPHCM",76.0,6,6,4,Giấy tờ không xác định,2025-11-25
"Bán nhà HXH Tôn Thất Tùng, Bến Thành, Quận 1, 4x20m, 5 tầng, 24 tỷ",24.0,"Tôn Thất Tùng, Phường Bến Thành, Quận 1, TPHCM",80.0,7,8,3,Giấy tờ không xác định,2025-11-25
"Bán nhà 2Mt HXH Trần Hưng Đạo, Q.1 ngần Trần Đình Xu, Cống Quỳnh",22.0,"Trần Hưng Đạo, Phường Nguyễn Cư Trinh, Quận 1, TPHCM",86.0,8,9,4,Giấy tờ không xác định,2025-11-25
