tieu_de,gia,dia_chi,dien_tich_dat,phong_ngu,phong_tam,so_tang,phap_ly,ngay_dang
Bán nhà 6 tầng ngõ ô tô đường Hoàng Hoa Thám,42.0,"Đường Hoàng Hoa Thám, Phường Liễu Giai, Quận Ba Đình, Hà Nội",140.0,9,11,6,Sổ đỏ,2025-11-25
"Bán nhà 6t MP Nguyễn Thái Học DT 80m2 MT4,2m sđcc bán 35 tỷ",35.0,"Đường Nguyễn Thái Học, Phường Điện Biên, Quận Ba Đình, Hà Nội",80.0,6,7,7,Sổ đỏ,2025-11-28
"Bán nhà 8t Thang Máy MP Nguyễn Thái Học- Điện Biên Phủ DT 92m2 MT4,15m",89.99,"68, Đường Nguyễn Thái Học, Phường Điện Biên, Quận Ba Đình, Hà Nội",92.0,16,17,8,Sổ đỏ,2025-11-28
Bán nhà nhỏ phố Sơn Tây-Ba Đình 26m/2 tầng .Gía 5.7 tỷ,5.7,"Đường Sơn Tây, Phường Kim Mã, Quận Ba Đình, Hà Nội",26.0,2,2,2,Sổ đỏ,2025-11-28
"BÁN BT KHU PL Vip Giảng Võ-  BA ĐÌNH ,OTO TRÁNH 136M2X3,5T - 66 TỶ",66.0,"66, Đường Giảng Võ, Phường Giảng Võ, Quận Ba Đình, Hà Nội",136.8,5,3,35,Sổ đỏ,2025-11-28
"Bán BT Vip Phố Liễu Giai, Ba Đình DT190m2 Mt 15m Đường oto gia 76,6ty",76.6,"68, Đường Liễu Giai, Phường Liễu Giai, Quận Ba Đình, Hà Nội",190.0,4,4,3,Sổ đỏ,2025-11-28
VẠN BẢO - LIỄU GIAI - 70M - 7 TẦNG - MT 6.6M - ĐƯỜNG HÈ 10M,36.0,"Đường Liễu Giai, Phường Liễu Giai, Quận Ba Đình, Hà Nội",70.0,9,7,7,Sổ đỏ,2025-11-27
"Chính chủ bán nhà 35m2 x 5 tầng ngõ 6 phố Vĩnh Phúc, Ba Đình",8.1,"Phường Vĩnh Phúc, Quận Ba Đình, Hà Nội",35.0,3,4,4,Giấy tờ không xác định,2025-11-28
bán gấp căn nhà khu plô VIP Vĩnh Phúc. Giáp khu 72ha  BA Đình DT 50M,29.0,"Đường Bưởi, Phường Vĩnh Phúc, Quận Ba Đình, Hà Nội",50.0,7,7,9,Sổ đỏ,2025-11-27
"Bán nhà mặt phố Vạn Phúc, Ba Đình, 105m2, mặt tiền 7.6m chỉ 41.5 tỷ",41.5,"Đường Vạn Phúc, Phường Kim Mã, Quận Ba Đình, Hà Nội",105.0,2,2,2,Sổ đỏ,2025-11-16
Đội Cấn – MẶt Phố - 63 M2 – 6 Tầng – Mặt Tiền  4.3 M – Giá 24.3 Tỷ.,24.3,"Đường Đội Cấn, Phường Đội Cấn, Quận Ba Đình, Hà Nội",63.0,6,6,6,Sổ đỏ,2025-11-27
"Bán nhà phố Điện Biên Phủ, 65m2, lô góc 8 tầng mặt tiền 8m, 33.5 tỷ",33.5,"Đường Điện Biên Phủ, Phường Điện Biên, Quận Ba Đình, Hà Nội",65.0,12,8,8,Sổ đỏ,2025-11-17
Mặt Ngõ 55 Hoàng Hoa Thám –  Ô TÔ - 71 M- 3 T – MT 6 M – Giá 20.8 Tỷ.,20.8,"Đường Hoàng Hoa Thám, Phường Ngọc Hà, Quận Ba Đình, Hà Nội",71.0,5,4,3,Sổ đỏ,2025-11-26
LÔ GÓC 2 THOÁNG  – FULL NỘI THẤT VIP – TRUNG TÂM BA ĐÌNH,10.95,"Phường Ngọc Hà, Quận Ba Đình, Hà Nội",50.0,3,3,5,Giấy tờ không xác định,2025-11-26
HIẾM - CẦU GIẤY - XUÂN THUỶ - 60M - 7 TẦNG - MT 4.1 - phân Lô Ô Tô,27.8,"Đường Cầu Giấy, Phường Cống Vị, Quận Ba Đình, Hà Nội",60.0,5,5,7,Sổ đỏ,2025-11-26
Ngõ 55 Hoàng Hoa Thám – Ba Đình – 55 M2 – 4 T – MT 3.6 M – Giá 14.3 Tỷ,14.3,"Đường Hoàng Hoa Thám, Phường Ngọc Hà, Quận Ba Đình, Hà Nội",55.0,4,4,4,Sổ đỏ,2025-11-26
"Chính Chủ Bán nhà 5 Tầng ĐC 128 Ngõ 639 Đường Hoàng Hoa Thám, BĐ, HN",30.5,"128/639, Đường Hoàng Hoa Thám, Phường Vĩnh Phúc, Quận Ba Đình, Hà Nội",121.9,26,26,5,Sổ đỏ,2025-11-26
"GẤP - Ba Đình - 50M - 7 Tầng - Mt 4,5M - đường hè 10M - Kd đỉnh",17.8,"Đường Vĩnh Phúc, Phường Vĩnh Phúc, Quận Ba Đình, Hà Nội",50.0,7,6,7,Sổ đỏ,2025-11-26
TRUNG TÂM QUẬN BA ĐÌNH – BÁN NHÀ MỚI 6 TẦNG THANG MÁY – LÔ GÓC,12.1,"Phường Vĩnh Phúc, Quận Ba Đình, Hà Nội",50.0,4,4,6,Giấy tờ không xác định,2025-11-26
