tieu_de,gia,dia_chi,dien_tich_dat,phong_ngu,phong_tam,so_tang,phap_ly,ngay_dang
"Bán Nhà riêng tạiĐường Ngọc Thụy, Phường Bồ Đề, Quận Long Biên, Hà Nội",29.9,"Đường Ngọc Thụy, Phường Bồ Đề, Quận Long Biên, Hà Nội",160.0,2.0,2.0,2.0,Sổ hồng,2025-11-27
"Bán Nhà riêng tạiĐường Vũ Đức Thận, Phường Việt Hưng, Quận Long Biên, Hà Nội",26.8,"Đường Vũ Đức Thận, Phường Việt Hưng, Quận Long Biên, Hà Nội",100.0,4.0,6.0,7.0,Sổ hồng,2025-11-27
"Bán Nhà biệt thự, liền kề theo dự ánAn Vượng Villa tại An Vượng Villa, Phường Dương Nội, Quận Hà Đông, Hà Nội",89.0,"An Vượng Villa, Phường Dương Nội, Quận Hà Đông, Hà Nội",180.0,6.0,3.0,4.0,Sổ hồng,2025-11-27
"Bán Nhà riêng tạiTô Hiệu , Phường Nguyễn Trãi, Quận Hà Đông, Hà Nội",11.5,"Tô Hiệu , Phường Nguyễn Trãi, Quận Hà Đông, Hà Nội",40.0,6.0,4.0,5.0,Sổ hồng,2025-11-27
"Bán Nhà riêng tạiPhường Định Công, Quận Hoàng Mai, Hà Nội",9.35,"Phường Định Công, Quận Hoàng Mai, Hà Nội",49.0,4.0,4.0,4.0,Giấy tờ không xác định,2025-11-26
"Bán Nhà riêng tạiĐịnh Công, Phường Định Công, Quận Hoàng Mai, Hà Nội",9.35,"Định Công, Phường Định Công, Quận Hoàng Mai, Hà Nội",49.0,4.0,3.0,4.0,Sổ hồng,2025-11-26
"Bán Nhà riêng tạinguyên xá, Phường Minh Khai, Quận Bắc Từ Liêm, Hà Nội",6.6,"nguyên xá, Phường Minh Khai, Quận Bắc Từ Liêm, Hà Nội",37.0,4.0,4.0,4.0,Sổ hồng,2025-11-26
"Bán Nhà riêng tạiPhạm Văn Nghị, Phường Cổ Nhuế 2, Quận Bắc Từ Liêm, Hà Nội",7.5,"Phạm Văn Nghị, Phường Cổ Nhuế 2, Quận Bắc Từ Liêm, Hà Nội",37.0,3.0,4.0,5.0,Giấy tờ không xác định,2025-11-26
"Bán Nhà riêng tạiĐường Nguyễn Văn Linh, Phường Phúc Lợi, Quận Long Biên, Hà Nội",21.5,"Đường Nguyễn Văn Linh, Phường Phúc Lợi, Quận Long Biên, Hà Nội",55.0,4.0,5.0,7.0,Sổ hồng,2025-11-26
"Bán Nhà riêng tạiHoàng Mai, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội",8.8,"Hoàng Mai, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội",38.0,3.0,4.0,5.0,Sổ hồng,2025-11-26
"Bán Nhà riêng tạivăn phú, Phường Phú La, Quận Hà Đông, Hà Nội",8.6,"văn phú, Phường Phú La, Quận Hà Đông, Hà Nội",32.0,3.0,4.0,5.0,Sổ hồng,2025-11-26
"Bán Nhà biệt thự, liền kề theo dự ánKiến Hưng Luxury tại Kiến Hưng Luxury, Phúc La , Phường Kiến Hưng, Quận Hà Đông, Hà Nội",21.0,"Kiến Hưng Luxury, Phúc La , Phường Kiến Hưng, Quận Hà Đông, Hà Nội",73.0,4.0,4.0,5.0,Sổ hồng,2025-11-26
"Bán Nhà mặt phố tạixuân phương, Phường Xuân Phương, Quận Nam Từ Liêm, Hà Nội",46.0,"xuân phương, Phường Xuân Phương, Quận Nam Từ Liêm, Hà Nội",41.0,4.0,4.0,8.0,Sổ hồng,2025-11-26
"Bán Nhà riêng tạihòe thị, Phường Phương Canh, Quận Nam Từ Liêm, Hà Nội",8.0,"hòe thị, Phường Phương Canh, Quận Nam Từ Liêm, Hà Nội",44.0,3.0,3.0,3.0,Sổ hồng,2025-11-25
"Bán Nhà riêng tạiTam Trinh, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội",7.95,"Tam Trinh, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội",39.0,3.0,4.0,5.0,Sổ hồng,2025-11-26
"Bán Nhà riêng tạiĐường Phan Đình Giót, Phường La Khê, Quận Hà Đông, Hà Nội",8.0,"Đường Phan Đình Giót, Phường La Khê, Quận Hà Đông, Hà Nội",35.0,3.0,4.0,5.0,Sổ hồng,2025-11-25
"Bán Nhà mặt phố tạiBắc Cầu, Phường Ngọc Thụy, Quận Long Biên, Hà Nội",15.0,"Bắc Cầu, Phường Ngọc Thụy, Quận Long Biên, Hà Nội",114.0,3.0,3.0,4.0,Sổ hồng,2025-11-25
"Bán Nhà riêng tạiĐường Nguyễn Sơn, Phường Bồ Đề, Quận Long Biên, Hà Nội",10.75,"Đường Nguyễn Sơn, Phường Bồ Đề, Quận Long Biên, Hà Nội",43.2,3.0,3.0,5.0,Sổ hồng,2025-11-25
"Bán Nhà mặt phố tạiVõng thị, Phường Thụy Khuê, Quận Tây Hồ, Hà Nội",7.9,"Võng thị, Phường Thụy Khuê, Quận Tây Hồ, Hà Nội",30.0,3.0,4.0,5.0,Sổ hồng,2025-11-25
"Bán Nhà mặt phố tạiPhường Đại Mỗ, Quận Nam Từ Liêm, Hà Nội",5.9,"Phường Đại Mỗ, Quận Nam Từ Liêm, Hà Nội",33.0,3.0,3.0,5.0,Sổ hồng,2025-11-25
"Bán Nhà riêng tạiPhường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội",6.6,"Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội",34.0,3.0,4.0,6.0,Sổ hồng,2025-11-25
"Bán Nhà mặt phố tạiĐường Nguyễn Văn Cừ, Phường Bồ Đề, Quận Long Biên, Hà Nội",260.0,"Đường Nguyễn Văn Cừ, Phường Bồ Đề, Quận Long Biên, Hà Nội",440.0,3.0,3.0,3.0,Sổ hồng,2025-11-25
"Bán Nhà riêng tạiLạc long quân, Phường Bưởi, Quận Tây Hồ, Hà Nội",12.0,"Lạc long quân, Phường Bưởi, Quận Tây Hồ, Hà Nội",38.0,5.0,5.0,5.0,Sổ hồng,2025-11-25
